HomeOdds,DrawOdds,AwayOdds,Winner,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HomeTeamLP,AwayTeamLP,HTGD,ATGD,DiffFormPts,DiffLP
2.3,3.25,3.0,1,0.5,0.8,L,W,D,D,W,L,18.0,18.0,-0.7,-0.5,-0.1,0.0
1.9,3.25,4.0,-1,1.3,1.5,L,W,L,W,L,D,15.0,8.0,0.1,0.3,-0.1,7.0
1.66,3.4,5.5,0,1.4,1.2,W,D,L,D,W,D,11.0,13.0,0.4,0.1,0.2,-2.0
1.66,3.4,5.5,1,1.3,1.1,D,D,W,W,D,L,5.0,16.0,0.3,0.2,0.4,-11.0
2.5,3.2,2.75,0,0.5,0.8,L,D,L,D,D,D,12.0,10.0,-0.6,-0.2,-0.2,2.0
2.62,3.0,2.75,1,1.4,2.5,D,D,W,W,W,W,3.0,1.0,0.2,2.1,-0.4,2.0
1.16,6.5,15.0,0,2.5,0.5,W,W,W,L,D,L,1.0,12.0,2.1,-0.6,1.1,-11.0
1.83,3.25,4.5,-1,0.8181818181820001,0.7272727272730001,D,D,D,W,L,W,10.0,18.0,-0.181818181818,-0.363636363636,-0.181818181818,-8.0
5.0,3.1,1.8,0,0.545454545455,1.54545454545,L,L,D,D,W,W,15.0,4.0,-1.36363636364,0.7272727272730001,-0.545454545455,11.0
2.6,3.2,2.62,-1,1.09090909091,1.36363636364,L,D,L,D,W,D,7.0,11.0,-0.7272727272730001,0.363636363636,0.0,-4.0
2.1,3.2,3.5,0,2.0,1.27272727273,W,W,L,W,L,D,17.0,6.0,0.363636363636,0.0909090909091,0.545454545455,11.0
2.5,3.2,2.75,1,0.7272727272730001,1.1818181818200002,L,L,L,L,L,W,9.0,15.0,-0.8181818181820001,0.0,0.0,-6.0
7.5,4.0,1.44,-1,0.7272727272730001,2.09090909091,L,D,W,W,L,W,18.0,2.0,-0.7272727272730001,0.909090909091,-0.454545454545,16.0
5.5,3.4,1.66,1,1.36363636364,1.54545454545,W,D,W,W,D,D,13.0,3.0,0.272727272727,0.363636363636,-0.272727272727,10.0
2.5,3.2,2.75,1,1.63636363636,1.45454545455,W,W,L,W,D,D,8.0,5.0,0.363636363636,0.363636363636,-0.272727272727,3.0
2.25,3.2,3.1,-1,1.69230769231,1.3846153846200002,D,W,W,W,D,W,8.0,6.0,0.384615384615,0.307692307692,0.153846153846,2.0
5.5,3.2,1.72,-1,1.0,2.07692307692,L,L,L,D,D,L,15.0,1.0,-0.230769230769,1.4615384615399998,-0.384615384615,14.0
2.4,3.2,2.87,1,0.615384615385,1.15384615385,D,D,D,L,L,W,12.0,13.0,-0.461538461538,-0.0769230769231,-0.230769230769,-1.0
1.8,3.4,4.5,0,1.0,0.615384615385,D,D,L,D,D,L,16.0,15.0,0.0769230769231,-1.15384615385,0.230769230769,1.0
1.5,3.5,8.0,1,1.5384615384600002,0.923076923077,W,L,D,D,W,W,4.0,18.0,0.615384615385,-0.230769230769,0.0,-14.0
6.0,3.2,1.66,-1,1.07692307692,2.23076923077,W,W,L,W,W,W,9.0,2.0,-0.307692307692,1.07692307692,-0.461538461538,7.0
1.8,3.1,5.0,1,1.15384615385,0.615384615385,W,L,L,D,D,L,7.0,18.0,-0.615384615385,-0.615384615385,0.0,-11.0
2.37,3.1,3.0,-1,0.75,1.91666666667,L,D,D,D,W,W,10.0,17.0,-0.25,0.333333333333,-0.5,-7.0
3.0,3.25,2.3,-1,1.23076923077,1.3846153846200002,L,L,W,D,L,W,5.0,3.0,0.0,0.153846153846,-0.0769230769231,2.0
3.1,3.1,2.3,-1,0.692307692308,1.4615384615399998,D,L,L,D,W,D,18.0,11.0,-0.846153846154,0.384615384615,-0.307692307692,7.0
1.33,4.5,9.5,1,1.5,1.28571428571,W,D,L,W,W,L,3.0,7.0,0.28571428571400004,-0.28571428571400004,0.07142857142860001,-4.0
2.3,3.25,3.0,-1,1.0714285714299998,1.0,L,L,L,D,D,D,13.0,16.0,-0.214285714286,0.07142857142860001,-0.14285714285700002,-3.0
2.37,3.1,3.0,1,0.5714285714289999,0.785714285714,L,D,D,W,D,D,18.0,12.0,-0.8571428571430001,-0.357142857143,-0.214285714286,6.0
1.16,6.5,15.0,0,2.07692307692,0.692307692308,D,D,L,D,L,L,1.0,18.0,1.4615384615399998,-0.846153846154,0.230769230769,-17.0
1.36,4.33,9.0,0,2.28571428571,1.57142857143,W,W,W,L,D,W,2.0,8.0,1.21428571429,0.28571428571400004,0.14285714285700002,-6.0
3.1,3.2,2.25,-1,0.8571428571430001,1.14285714286,L,D,W,L,L,L,18.0,5.0,-0.28571428571400004,-0.14285714285700002,0.214285714286,13.0
1.83,3.25,4.5,1,1.85714285714,1.0,W,L,D,L,W,W,17.0,9.0,0.28571428571400004,-0.5,0.28571428571400004,8.0
2.5,3.2,2.75,1,1.57142857143,1.42857142857,W,D,W,L,W,L,11.0,4.0,0.428571428571,0.428571428571,0.28571428571400004,7.0
2.3,3.1,3.1,0,0.642857142857,0.8571428571430001,D,D,D,L,W,L,15.0,10.0,-1.0714285714299998,-0.214285714286,-0.14285714285700002,5.0
